0,1,2,3
0028,23.691990,120.535606,1
0012,23.692623,120.535576,2
0031,23.692610,120.535576,5
0047,23.693933,120.532753,8
0012,23.694214,120.533180,13
0012,23.693962,120.532639,15
0022,23.693962,120.532730,19
0052,23.694448,120.533234,21
0163,22.991323,120.204796,26
0129,52.632721,-0.550550,29
0129,52.632721,-0.550550,30
0094,23.689871,120.529243,32
0089,52.363487,4.888026,33
0253,23.801025,120.459534,36
0253,23.801025,120.459534,37
0258,23.801077,120.459610,38
0106,23.495129,120.741402,41
0227,24.345240,120.712723,44
